id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4.06863E+15,217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,2,4.17782E+15,813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,3,4.27181E+15,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4,4.04803E+15,313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,5,4.29722E+15,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,6,4.55837E+15,417,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
7,7,4.61325E+15,314,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
8,8,4.83951E+15,213,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
9,9,4.46353E+15,618,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
10,9,4.14965E+15,420,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
11,10,4.63688E+15,820,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
12,11,4.6253E+15,614,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
13,12,4.51891E+15,518,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
14,13,4.03589E+15,1020,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
15,13,4.55667E+15,412,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
16,14,4.27938E+15,815,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
17,15,4.25713E+15,1220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
18,16,4.05581E+15,619,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
19,16,4.31877E+15,218,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
20,17,4.89037E+15,718,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
21,18,4.1479E+15,1117,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
22,18,4.17207E+15,1117,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
23,19,4.56676E+15,220,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
24,20,4.97047E+15,1018,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
25,20,4.38005E+15,616,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
26,21,4.07192E+15,819,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
27,21,4.61452E+15,119,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
28,22,4.60422E+15,916,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
29,23,4.34943E+15,912,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
30,24,4.61985E+15,715,failed,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
31,24,4.13068E+15,415,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
32,25,4.18465E+15,517,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
33,26,4.34351E+15,520,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
34,27,4.63021E+15,819,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
35,28,4.01886E+15,120,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
36,29,4.4551E+15,516,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
37,30,4.58602E+15,815,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
38,31,4.10198E+15,815,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
39,32,4.44025E+15,613,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
40,33,4.46979E+15,1113,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
41,34,4.70384E+15,1219,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
42,35,4.65178E+15,417,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
43,36,4.1297E+15,216,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
44,37,4.24097E+15,415,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
45,38,4.74498E+15,418,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
46,39,4.42576E+15,1017,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
47,40,4.85898E+15,1115,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
48,41,4.76051E+15,113,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
49,42,4.78332E+15,1017,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
50,43,4.69328E+15,517,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
51,44,4.6279E+15,414,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
52,45,4.00723E+15,513,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
53,46,4.2706E+15,118,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
54,47,4.57925E+15,213,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
55,48,4.71466E+15,117,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
56,49,4.25304E+15,1214,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
57,50,4.11685E+15,1117,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
58,50,4.59563E+15,1218,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
59,50,4.35016E+15,416,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
60,50,4.68507E+15,1213,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
